Sport,Sporting Event Name,athletes,country_name,athlete_full_name,Olympic Host,Olympic Name,Year
Short Track Speed Skating,Men's 5000m Relay,,Canada,,China,Beijing 2022,2022
Short Track Speed Skating,Men's 5000m Relay,,Republic of Korea,,China,Beijing 2022,2022
Short Track Speed Skating,Men's 5000m Relay,,Italy,,China,Beijing 2022,2022
Short Track Speed Skating,Men's 5000m Relay,,ROC,,China,Beijing 2022,2022
Short Track Speed Skating,Men's 5000m Relay,,People's Republic of China,,China,Beijing 2022,2022
Short Track Speed Skating,Men's 5000m Relay,,Hungary,,China,Beijing 2022,2022
Short Track Speed Skating,Men's 5000m Relay,,Netherlands,,China,Beijing 2022,2022
Short Track Speed Skating,Men's 5000m Relay,,Japan,,China,Beijing 2022,2022
Short Track Speed Skating,Team Relay,,People's Republic of China,,China,Beijing 2022,2022
Short Track Speed Skating,Team Relay,,Italy,,China,Beijing 2022,2022
Short Track Speed Skating,Team Relay,,Hungary,,China,Beijing 2022,2022
Short Track Speed Skating,Team Relay,,Netherlands,,China,Beijing 2022,2022
Short Track Speed Skating,Team Relay,,Kazakhstan,,China,Beijing 2022,2022
Short Track Speed Skating,Team Relay,,Canada,,China,Beijing 2022,2022
Short Track Speed Skating,Team Relay,,ROC,,China,Beijing 2022,2022
Short Track Speed Skating,Team Relay,,United States of America,,China,Beijing 2022,2022
Short Track Speed Skating,Team Relay,,Republic of Korea,,China,Beijing 2022,2022
Short Track Speed Skating,Team Relay,,Japan,,China,Beijing 2022,2022
Short Track Speed Skating,Team Relay,,Poland,,China,Beijing 2022,2022
Short Track Speed Skating,Team Relay,,France,,China,Beijing 2022,2022
Short Track Speed Skating,Women's 3000m Relay,,Netherlands,,China,Beijing 2022,2022
Short Track Speed Skating,Women's 3000m Relay,,Republic of Korea,,China,Beijing 2022,2022
Short Track Speed Skating,Women's 3000m Relay,,People's Republic of China,,China,Beijing 2022,2022
Short Track Speed Skating,Women's 3000m Relay,,Canada,,China,Beijing 2022,2022
Short Track Speed Skating,Women's 3000m Relay,,Italy,,China,Beijing 2022,2022
Short Track Speed Skating,Women's 3000m Relay,,Poland,,China,Beijing 2022,2022
Short Track Speed Skating,Women's 3000m Relay,,ROC,,China,Beijing 2022,2022
Short Track Speed Skating,Women's 3000m Relay,,United States of America,,China,Beijing 2022,2022
Figure skating,Team Event,,ROC,,China,Beijing 2022,2022
Figure skating,Team Event,,United States of America,,China,Beijing 2022,2022
Figure skating,Team Event,,Japan,,China,Beijing 2022,2022
Figure skating,Team Event,,Canada,,China,Beijing 2022,2022
Figure skating,Team Event,"[('Boyang JIN', 'https://olympics.com/en/athletes/jin'), ('Yi ZHU', 'https://olympics.com/en/athletes/yi-zhu-x5350')]",People's Republic of China,,China,Beijing 2022,2022
Figure skating,Team Event,"[('Boyang JIN', 'https://olympics.com/en/athletes/jin'), ('Yi ZHU', 'https://olympics.com/en/athletes/yi-zhu-x5350')]",Georgia,,China,Beijing 2022,2022
Figure skating,Team Event,"[('Boyang JIN', 'https://olympics.com/en/athletes/jin'), ('Yi ZHU', 'https://olympics.com/en/athletes/yi-zhu-x5350')]",Italy,,China,Beijing 2022,2022
Figure skating,Team Event,"[('Boyang JIN', 'https://olympics.com/en/athletes/jin'), ('Yi ZHU', 'https://olympics.com/en/athletes/yi-zhu-x5350')]",Czech Republic,,China,Beijing 2022,2022
Figure skating,Team Event,"[('Paul FENTZ', 'https://olympics.com/en/athletes/fentz'), ('Nicole SCHOTT', 'https://olympics.com/en/athletes/schott')]",Germany,,China,Beijing 2022,2022
Figure skating,Team Event,"[('Paul FENTZ', 'https://olympics.com/en/athletes/fentz'), ('Nicole SCHOTT', 'https://olympics.com/en/athletes/schott')]",Ukraine,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Wenjing SUI', 'https://olympics.com/en/athletes/wenjing-sui'), ('Cong HAN', 'https://olympics.com/en/athletes/cong-han')]",People's Republic of China,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Evgenia TARASOVA', 'https://olympics.com/en/athletes/tarasova'), ('Vladimir MOROZOV', 'https://olympics.com/en/athletes/morozov')]",ROC,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Anastasia MISHINA', 'https://olympics.com/en/athletes/anastasia-mishina'), ('Aleksandr GALLIAMOV', 'https://olympics.com/en/athletes/aleksandr-galliamov')]",ROC,,China,Beijing 2022,2022
