game_location,game_season,year
China,Winter,2022
Japan,Summer,2020
Republic of Korea,Winter,2018
Brazil,Summer,2016
Russian Federation,Winter,2014
Great Britain,Summer,2012
Canada,Winter,2010
China,Summer,2008
Italy,Winter,2006
Greece,Summer,2004
United States,Winter,2002
Australia,Summer,2000
Japan,Winter,1998
United States,Summer,1996
Norway,Winter,1994
Spain,Summer,1992
France,Winter,1992
Republic of Korea,Summer,1988
Canada,Winter,1988
United States,Summer,1984
Yugoslavia,Winter,1984
USSR,Summer,1980
United States,Winter,1980
Canada,Summer,1976
Austria,Winter,1976
Federal Republic of Germany,Summer,1972
Japan,Winter,1972
Mexico,Summer,1968
France,Winter,1968
Japan,Summer,1964
Austria,Winter,1964
Italy,Summer,1960
United States,Winter,1960
"Australia, Sweden",Summer,1956
Italy,Winter,1956
Finland,Summer,1952
Norway,Winter,1952
Great Britain,Summer,1948
Switzerland,Winter,1948
Germany,Summer,1936
Germany,Winter,1936
United States,Summer,1932
United States,Winter,1932
Netherlands,Summer,1928
Switzerland,Winter,1928
France,Summer,1924
France,Winter,1924
Belgium,Summer,1920
Sweden,Summer,1912
Great Britain,Summer,1908
United States,Summer,1904
France,Summer,1900
Greece,Summer,1896
